Tarih;Saat;Tüketim Miktarı(MWh)
30.08.2025;00:00;41.497,62
30.08.2025;01:00;39.504,93
30.08.2025;02:00;37.894,91
30.08.2025;03:00;36.387,34
30.08.2025;04:00;35.585,29
30.08.2025;05:00;35.018,79
30.08.2025;06:00;33.601,83
30.08.2025;07:00;33.891,06
30.08.2025;08:00;36.449,46
30.08.2025;09:00;38.882,26
30.08.2025;10:00;40.490,90
30.08.2025;11:00;41.653,01
30.08.2025;12:00;41.501,20
30.08.2025;13:00;42.354,24
30.08.2025;14:00;42.794,82
30.08.2025;15:00;41.597,71
30.08.2025;16:00;41.442,01
30.08.2025;17:00;41.663,68
30.08.2025;18:00;41.942,84
30.08.2025;19:00;43.143,34
30.08.2025;20:00;42.405,81
30.08.2025;21:00;37.621,55
