datetime;zone;carbonIntensity;updatedAt;createdAt;emissionFactorType;isEstimated;estimationMethod;temporalGranularity;carbon_level;hours_since_update
2025-08-21 16:00:00+00:00;TR;411;2025-08-21 22:42:36.808000+00:00;2025-08-18 16:44:29.303000+00:00;lifecycle;False;;hourly;High;6.71
2025-08-21 17:00:00+00:00;TR;405;2025-08-21 22:42:32.551000+00:00;2025-08-18 17:41:42.698000+00:00;lifecycle;False;;hourly;High;5.71
2025-08-21 18:00:00+00:00;TR;413;2025-08-21 22:42:09.761000+00:00;2025-08-18 18:41:25.441000+00:00;lifecycle;False;;hourly;High;4.7
2025-08-21 19:00:00+00:00;TR;430;2025-08-22 14:43:05.987000+00:00;2025-08-18 19:42:33.668000+00:00;lifecycle;True;TIME_SLICER_AVERAGE;hourly;High;19.72
2025-08-21 20:00:00+00:00;TR;448;2025-08-22 14:43:43.679000+00:00;2025-08-18 20:44:04.042000+00:00;lifecycle;True;TIME_SLICER_AVERAGE;hourly;High;18.73
2025-08-21 21:00:00+00:00;TR;467;2025-08-22 14:43:39.186000+00:00;2025-08-18 21:41:47.733000+00:00;lifecycle;False;;hourly;High;17.73
2025-08-21 22:00:00+00:00;TR;487;2025-08-22 14:43:05.987000+00:00;2025-08-18 22:40:37.424000+00:00;lifecycle;False;;hourly;High;16.72
2025-08-21 23:00:00+00:00;TR;509;2025-08-22 14:43:05.987000+00:00;2025-08-18 23:41:34.864000+00:00;lifecycle;False;;hourly;High;15.72
2025-08-22 00:00:00+00:00;TR;527;2025-08-22 14:43:05.987000+00:00;2025-08-19 00:44:37.324000+00:00;lifecycle;False;;hourly;High;14.72
2025-08-22 01:00:00+00:00;TR;536;2025-08-22 14:43:05.987000+00:00;2025-08-19 01:40:32.264000+00:00;lifecycle;False;;hourly;High;13.72
2025-08-22 02:00:00+00:00;TR;544;2025-08-22 14:43:43.679000+00:00;2025-08-19 02:45:51.420000+00:00;lifecycle;False;;hourly;High;12.73
2025-08-22 03:00:00+00:00;TR;555;2025-08-22 14:43:43.679000+00:00;2025-08-19 03:46:04.816000+00:00;lifecycle;False;;hourly;High;11.73
2025-08-22 04:00:00+00:00;TR;542;2025-08-22 14:43:05.987000+00:00;2025-08-19 04:42:31.706000+00:00;lifecycle;False;;hourly;High;10.72
2025-08-22 05:00:00+00:00;TR;521;2025-08-22 14:43:05.987000+00:00;2025-08-19 05:40:56.156000+00:00;lifecycle;False;;hourly;High;9.72
2025-08-22 06:00:00+00:00;TR;520;2025-08-22 14:43:39.186000+00:00;2025-08-19 06:44:59.420000+00:00;lifecycle;False;;hourly;High;8.73
2025-08-22 07:00:00+00:00;TR;524;2025-08-22 14:43:39.186000+00:00;2025-08-19 07:45:23.592000+00:00;lifecycle;False;;hourly;High;7.73
2025-08-22 08:00:00+00:00;TR;523;2025-08-22 14:43:43.679000+00:00;2025-08-19 08:42:03.516000+00:00;lifecycle;False;;hourly;High;6.73
2025-08-22 09:00:00+00:00;TR;526;2025-08-22 14:43:05.987000+00:00;2025-08-19 09:42:05.618000+00:00;lifecycle;False;;hourly;High;5.72
2025-08-22 10:00:00+00:00;TR;515;2025-08-22 14:43:05.987000+00:00;2025-08-19 10:40:53.610000+00:00;lifecycle;False;;hourly;High;4.72
2025-08-22 11:00:00+00:00;TR;494;2025-08-22 14:43:05.987000+00:00;2025-08-19 11:46:17.566000+00:00;lifecycle;False;;hourly;High;3.72
2025-08-22 12:00:00+00:00;TR;494;2025-08-22 14:43:39.186000+00:00;2025-08-19 12:45:22.072000+00:00;lifecycle;True;TIME_SLICER_AVERAGE;hourly;High;2.73
2025-08-22 13:00:00+00:00;TR;481;2025-08-22 14:43:05.987000+00:00;2025-08-19 13:44:26.807000+00:00;lifecycle;True;TIME_SLICER_AVERAGE;hourly;High;1.72
2025-08-22 14:00:00+00:00;TR;465;2025-08-22 14:43:43.679000+00:00;2025-08-19 14:44:58.612000+00:00;lifecycle;True;TIME_SLICER_AVERAGE;hourly;High;0.73
2025-08-22 15:00:00+00:00;TR;456;2025-08-22 14:43:39.186000+00:00;2025-08-19 15:39:12.957000+00:00;lifecycle;True;TIME_SLICER_AVERAGE;hourly;High;-0.27
